subject_id,topic,model,question,options,correct_answer,coherence_1to5,relevance_1to5,distractor_quality_1to5,answer_correctness_1to5,notes
32,just scaling,new_flant5_sciq,What does an example of simple linear regression mean?,just scaling | a single variable | simple exponentials | multiple variables,just scaling,1,2,4,2,Phrasing is garbled. Distractors (single variable/multiple variables) are actually good real regression concepts though. 
32,modelling applications,old_t5small_squad,What is the probability of being 180cm tall?,minimize log | structure data | modelling applications | estimate minimises,modelling applications,5,1,2,1,"Real, well-posed stats question (continuous distributions have zero point-probability) but the topic name doesn't answer it at all (severe mismatch)."
32,modelling applications,new_flant5_sciq,Go-to-distribution for many what?,environmental applications | mechanical applications | modelling applications | energy applications,modelling applications,3,4,4,4,Garbled but the answer genuinely fits once parsed
32,optimisation problem,old_t5small_squad,What does Strategy: find estimate that 18 minimises loss?,optimisation problem | activations land | training database | training data,optimisation problem,1,2,2,2,Same slide-artifact pattern as 'minimises loss' row above.  'activations land' (is a known garbled topic fragment) appears as a distractor here.
32,optimisation problem,new_flant5_sciq,"How many x= argmin lax, x lx, x =  xix x i=1?",16 | 15 | 35 | 18,16,1,1,1,1,Pure garbled math notation. Numeric answer probably incorrect. 
35,image infilling,old_t5small_squad,What is the name of the _____?,feature transform | image infilling | inverse sigmoid | overfitting happens,image infilling,1,1,2,1,Unfilled template placeholder again
35,image infilling,new_flant5_sciq,What is the method of infilling a photo?,image infilling | image manipulation | image extraction | photo diffusion,image infilling,5,5,5,5,"Genuinely excellent example, Clean question with all 4 options coherent and distinct. "
35,sold houses,old_t5small_squad,What data can be used to calculate the price of a house?,sold houses | bayesian inference | mercer condition | square loss,sold houses,5,5,3,5,Good question. Distractors are real ML terms but not related to 'housing'. 
35,sold houses,new_flant5_sciq,Machine learning can be used to automatically learn models based on data describing recently what?,cities | sold houses | properties | places,sold houses,4,5,5,5,All 4 options are coherent (location/property terms). Strong example
35,binary classification,old_t5small_squad,What type of classification does Syed Fawad Hussain have?,bayesian perspective | logarithm odds | binary classification | linear regression,binary classification,1,1,4,1,"Professor's name leaked directly into question text, making it a bug with nonsensical framing. "
35,binary classification,new_flant5_sciq,What is the name for classifications of inputs if an input is either a binary or a normal?,binary translation | binary encoding | binary classification | binary transfer,binary classification,4,5,5,5,Minor grammar issue ('a binary or a normal' should read more like 'binary or continuous') but otherwise strong
35,numeric transformation,old_t5small_squad,What can be transformed into numeric inputs?,sigmoid function | feature transform | numeric transformation | inverse sigmoid,numeric transformation,5,3,3,2,"Category mismatch with the answer naming the transformation process itself, not what gets transformed"
35,numeric transformation,new_flant5_sciq,Some machine learning approaches only deal with what kind of inputs?,complex transformation | numeric transformation | simple transformation | analogous transformation,numeric transformation,5,4,5,2,"Same category-error issue as the row above with answer not literally fitting the question asked, though intent is clear"
35,decision boundary,old_t5small_squad,What is the name of the x Regression Y= R Classification Yis?,binary classification | decision boundary | depth breadth | margin classifiers,decision boundary,1,2,4,2,Garbled math/slide notation as question text
35,decision boundary,new_flant5_sciq,_____ is best described as: Reinforcement learning: learn what actions in 𝒜are best to take given a certain state in 𝒮,depth breadth | margin classifiers | binary classification | decision boundary,decision boundary,2,1,4,1,"Fallback grabbed a sentence describing reinforcement learning, not decision boundary. Wrong-topic content, garbled unicode symbols visible too"
35,hypothesis set,old_t5small_squad,What is H h(x) = ax+ b?,hypothesis set | training set | generalization issue | bayesian inference,hypothesis set,1,3,4,3,"Math notation fragment, topically adjacent but not really answerable as phrased"
35,hypothesis set,new_flant5_sciq,"Introduction– Definition, Logistic Regression _____.",hypothesis set | generalization issue | training set | bayesian inference,hypothesis set,2,3,4,2,Not really a question. An agenda/outline slide line used as fallback
35,large datasets,old_t5small_squad,Syed Fawad Hussain 41 Relationship with Other Fields Data Mining?,training examples | large datasets | binary classification | training set,large datasets,1,2,4,2,Professor name + page number both leaked into question text
35,large datasets,new_flant5_sciq,Where do data mining focus?,large datasets | large models | small datasets | big datasets,large datasets,3,5,3,4,Grammar error ('where...focus' should be 'what does ... focus on'). 'big datasets' distractor is too similar to correct answer
35,hot encoding,old_t5small_squad,What is the name of the class that Syed Fawad Hussain classifies?,primal representation | standardizing input | hot encoding | binary classification,hot encoding,1,1,4,1,"Another professor-name leak, nonsensical framing"
35,hot encoding,new_flant5_sciq,[SKIPPED - no confident content],,,,,,,"Model correctly declined to generate rather than confabulate. This is a good outcome, being evidence the confidence threshold works"
37,object pose,old_t5small_squad,What is the name of the object?,object pose | weights layers | feature detection | occlusions viewpoint,object pose,5,2,4,3,"Too vague/generic. Doesn't capture 'pose' specifically, could be about any object"
37,object pose,new_flant5_sciq,"What conveys a sense of innocence and playfulness, as if it is exploring the world around it for the first time?",sound | kinetic energy | object pose | sensory perception,object pose,5,2,2,2,Good phrased sentence but bizarre pairing. Not the technical CV concept of pose estimation. Possible hallucination/misattribution from an unrelated image caption
37,occlusions viewpoint,old_t5small_squad,What is the name of the Optical Illusions?,hermann grid | occlusions viewpoint | feature detection | object pose,occlusions viewpoint,4,1,2,1,"Wrong answer. Occlusions viewpoint is not an optical illusion, hermann grid is (and hermann grid sits as a distractor here, effectively swapped)"
37,occlusions viewpoint,new_flant5_sciq,What is the term for occlusions viewpoint?,reflection point | occlusions orientation | symmetry point | occlusions viewpoint,occlusions viewpoint,4,3,4,2,"Tautological question. Asks for the term, answers with it itself, doesn't test understanding"
37,hermann grid,old_t5small_squad,What is the name of Physiological Illusions?,occlusions viewpoint | hermann grid | labeled data | weights layers,hermann grid,4,4,4,4,"Correct pairing this time (compare to the occlusions viewpoint row above), with hermann grid genuinely being a physiological illusion"
37,hermann grid,new_flant5_sciq,What is the name for the physiological illusions that are logical illusions?,hermann grid | saturn grid | atomic model | cinna grid,hermann grid,3,3,2,3,"Conceptually muddled, Conflates 'physiological' and 'logical' illusion categories, which are actually distinct in visual perception. 'saturn grid'/'cinna grid' distractors appear to be fabricated/nonsense terms"
37,labeled data,old_t5small_squad,What does Supervised learning mean?,feature detection | gradient local | labeled data | hermann grid,labeled data,5,4,2,4,Reasonable partial-definition answer. Distractors are an unrelated CV/DL grab-bag
37,labeled data,new_flant5_sciq,What kind of data are used in machine learning to predict outcome/future classification?,simulated data | labeled data | merged data | embedded data,labeled data,3,5,4,4,Awkward informal slash construction ('outcome/future classification') but otherwise solid
37,chain rule,old_t5small_squad,"What is the x = -2, y = 5, z =?",upstream gradient | gradient local | chain rule | opposite gradient,chain rule,1,1,4,1,Nonsensical math fragment with no equation given to solve for z
37,chain rule,new_flant5_sciq,"How do you determine upstream gradient, local gradient and z?",chain rule | phase rule | sequence rule | velocity rule,chain rule,4,5,3,5,Genuinely correct with chain rule being exactly how gradients are computed through composed functions. 'phase rule'/'sequence rule'/'velocity rule' distractors sound plausible but aren't real established terms
37,feature detection,old_t5small_squad,What is the name of the _____ and Deep Learning?,object pose | gradient local | labeled data | feature detection,feature detection,4,4,2,4,Plausible match to a real lecture section title
37,feature detection,new_flant5_sciq,What is the name of the neural method that uses a high degree of accuracy to detect what phenomena?,parameter detection | feature detection | image extraction | image detection,feature detection,2,4,4,3,Reads like two merged questions tacked together.Confusing double-question structure
37,upstream gradient,old_t5small_squad,What is the name of Andrej Karpathy e?,upstream gradient | gradient local | opposite gradient | backpropagation loss,upstream gradient,1,1,4,1,Real AI researcher's name leaked into question (likely from a 'slide credit' attribution). 
37,upstream gradient,new_flant5_sciq,What is the local gradient?,amorphous gradient | opportune gradient | upstream gradient | lateral gradient,upstream gradient,5,4,2,1,"Local gradient and upstream gradient are two distinct concepts in backpropagation, not the same thing. Genuine hallucination where the question and options are clean/fluent, which makes the error harder to spot"
37,backpropagation loss,old_t5small_squad,What is the cause of loss from higher layers to lower layers?,gradient local | opposite gradient | upstream gradient | backpropagation loss,backpropagation loss,4,4,4,4,"Reasonable, matches typical backpropagation framing"
37,backpropagation loss,new_flant5_sciq,What is the loss of weight resulting from higher layers to lower layers?,backpropagation loss | transfer loss | propagation loss | inverse loss,backpropagation loss,4,4,4,4,"Reasonable, same as above. "
