subject_id,filename,model,summary,coherence_1to5,faithfulness_1to5,completeness_1to5,notes
32,NC Week 6 Dubai.pdf,extractive_only,"Encoder usually learns to encode features that explain intensities of as many pixels as possible. AutoEncoders: Do they learn to encode “useful” info in Z? Trained Encoder of AE maps data X to space Z where they are clustered. Using the limited labelled data, train with Supervised Learning ONLY the classifier. encoder and the classifier (usually for only few SGD iterations). Possibility to overfit as all parameters are trained.",3,5,4,One fragment reads oddly in isolation (clearly a cut continuation of the previous bullet)
32,NC Week 6 Dubai.pdf,untrained_base_flant5,Encoder usually learns to encode features that explain intensities of as many pixels as possible.,5,5,1,Drops clustering/semi-supervised/overfit points entirely
32,NC Week 6 Dubai.pdf,finetuned_summary_model,"Trained Encoder of AE maps data X to space Z where they are clustered. Using limited labelled data, train with Supervised Learning ONLY the classifier.",4,5,3,Good - combined 2 distinct real points (clustering + semi-supervised) coherently
32,NC Week 7 Dubai.pdf,extractive_only,"Discriminator learns a decision boundary between real and fake samples. Can be understood as if D learns by minimizing losses: - One for fake samples (make D(G(z)) go to ) - Note: All this for “fixed” G parameters. Therefore, we can backpropagate through the generated output 𝐺𝜃(𝒛). Then, by substituting to the GAN’s total objective function we have: Theoretically motivated loss for G (min max game minimizing JS divergence):",3,5,4,Good conceptual spread of GAN training mechanics despite some math-adjacent fragments
32,NC Week 7 Dubai.pdf,untrained_base_flant5,Discriminator learns a decision boundary between real and fake samples.,5,5,1,Drops nearly everything about the actual GAN training process
32,NC Week 7 Dubai.pdf,finetuned_summary_model,"Discriminator learns a decision boundary between real and fake samples. One for fake samples (make D(G(z)) go to). Then, by substituting to the GAN’s total objective function we have: Theoretically motivated loss for G.",2,4,3,Kept 3 of 5 points but two sentences trail off as incomplete fragments
32,NC Week 8 Dubai.pdf,extractive_only,"Tackling the Generative Learning Trilemma with Denoising Diffusion GANs. “Cascaded Diffusion Models for High Fidelity Image Generation”, 2021. Note: these are auto-encoder reconstructions, not full diffusion outputs.",3,5,2,"Mostly citations/paper titles, genuinely thin content - reflects real sparsity in this deck"
32,NC Week 8 Dubai.pdf,untrained_base_flant5,Tackling the Generative Learning Trilemma with Denoising Diffusion GANs.,5,5,1,"Kept only the paper title, even thinner than extractive"
32,NC Week 8 Dubai.pdf,finetuned_summary_model,Tackling the Generative Learning Trilemma with Denoising Diffusion GANs. These are auto-encoder reconstructions for high Fidelity image generation.,4,2,2,"FABRICATION - dropped the source's 'not full diffusion outputs' caveat and replaced it with a claim conflated from a nearby but unrelated citation title. Reads fluently, which makes the error harder to catch"
32,Week 11 Dubai.pdf,extractive_only,"More generally, Markov Assumption with Memory of N (N-grams): There can be arbitrarily many words between subject and verb. -> We need a different type of architecture. Q: How can we turn this into a probability distribution over the next word? Q: How can train the transformer to output probabilities for next word?",3,5,3,Two near-duplicate Q variations not quite caught by dedup
32,Week 11 Dubai.pdf,untrained_base_flant5,Markov Assumption with Memory of N (N-grams): - We need a different type of architecture.,4,5,2,Reasonably combined 2 sentences but dropped the more important forward-looking transformer content
32,Week 11 Dubai.pdf,finetuned_summary_model,Markov Assumption with Memory of N (N-grams): There can be arbitrarily many words between subject and verb. How can we turn this into a probability distribution over the next word?,5,5,4,"Best of the three for this file - 3 real points, genuinely coherent read"
32,Week9 Dubai.pdf,extractive_only,"• Why is it related to Neural Computation? • How to compute the joint probability P(W): More generally, Markov Assumption with Memory of N: • The best LM assigns high probability to the entire test set. •We need to train robust models that generalize! • Will hurt our performance for texts where those words appear!",3,5,4,Last bullet is an orphaned fragment but good conceptual spread otherwise
32,Week9 Dubai.pdf,untrained_base_flant5,Neural Computation (NCC) is a technique that is used to compute the joint probability P(W) of a test set. The best LM assigns high probability to the entire test set.,4,1,2,"FABRICATION - 'Neural Computation (NCC) is a technique used to compute joint probability' - conflates the course/module NAME with an invented technical definition. Reads fluently, which is exactly what makes this dangerous"
32,Week9 Dubai.pdf,finetuned_summary_model,The Markov Assumption with Memory of N is a generalization LM. The best LM assigns high probability to the entire test set. We need to train robust models that generalize.,4,4,4,"Best of the three - combined 3 real points, 'generalization LM' phrasing is a bit imprecise but not fabricated"
35,PG_Wk_1_Lec_1.pdf,extractive_only,"statistical models to analyze and draw inferences from patterns in data. actions that maximize their chances of achieving the best [expected] outcome. Machine learning can be seen as a field within AI. ordinal or categorical inputs can be transformed into numeric ones. examples, we are interested in learning 𝑔so as to minimize: You’ll gain an in depth understanding of how these approaches work.",3,5,3,Includes some generic course-description filler alongside real definitional content
35,PG_Wk_1_Lec_1.pdf,untrained_base_flant5,Machine learning can be seen as a field within AI.,5,5,1,Kept only 1 sentence
35,PG_Wk_1_Lec_1.pdf,finetuned_summary_model,Machine learning can be seen as a field within AI. Machine learning is a form of machine learning. It can be used to analyze and draw inferences from patterns in data.,2,2,3,The line 'Machine learning is a form of machine learning' is literal circular reasoning. Not present in source at all
35,PG_Wk_1_Lec_2.pdf,extractive_only,"𝑦: output attribute, output variable, dependent variable, label (for classification). Different people and books will use different notations! instance to belong to a given class as a linear combination of the inputs. Again, we cannot use aa linear combination to model ln(𝑃ଵ).ln(𝑃ଵ). This is the key idea behind logistic regression!regression! The models differ in how the algorithm learns:",3,5,3,Duplication artifact ('aa') survived into the extracted sentence
35,PG_Wk_1_Lec_2.pdf,untrained_base_flant5,We cannot use aa linear combination to model ln(P).ln(P).,4,5,1,"Kept 1 sentence verbatim including the typo, dropped nearly everything else"
35,PG_Wk_1_Lec_2.pdf,finetuned_summary_model,"y: output attribute, output variable, dependent variable, label (for classification). We cannot use aa linear combination to model ln(P).ln (P)",3,5,2,Trailing garbled fragment ('ln (P)') looks like an unclean duplication remnant
35,Wk_2_Lec_1.pdf,extractive_only,"To get c0, choose x=a so all the (x-a) terms become zero, leaving us with: So, we can have a function approximation as: Hence, a positive second-order derivative shows a minimum point. problem to be solved for learning a logistic regression model. finding the coefficients 𝐰that minimize the cross-entropy loss. the steepest descent of 𝐸(𝐰),𝐸(𝐰), based on the gradient.gradient.",2,5,4,"Heavy math notation, choppy but good coverage of the optimization derivation"
35,Wk_2_Lec_1.pdf,untrained_base_flant5,"To get c0, choose x=a so all the (x-a) terms become zero, leaving us with: So, we can have a function approximation as: Hence, a positive second-order derivative shows a minimum point.  Problem to be solved for learning a logistic regression model.  Finding the coefficients wthat minimize the cross-entropy loss.  The steepest descent of E(w),E(w), based on the gradient.gradient.",2,5,5,"Kept almost everything verbatim - failed to compress/synthesize at all, high completeness only because nothing was dropped"
35,Wk_2_Lec_1.pdf,finetuned_summary_model,A positive second-order derivative shows a minimum point. Problem to be solved for learning a logistic regression model.,4,5,3,"Clean, correctly combined 2 real points, appropriately dropped the messiest math fragments"
35,Wk_2_Lec_2.pdf,extractive_only,"Essentially, gradient descent with automated step-sizes taking the slope into account. Taylor polynomial of degree to approximate a function at 𝑤଴: i.e., we are approximating 𝐸(𝑤) around the current weight. we will need to apply this rule iteratively. Note the dependence of the gradient and Hessian on 𝐰. However, its deviations from quadratic are not too large.",3,5,4,Technical but reasonably readable
35,Wk_2_Lec_2.pdf,untrained_base_flant5,"Essentially, gradient descent with automated step-sizes taking the slope into account.",5,5,1,Kept 1 sentence only
35,Wk_2_Lec_2.pdf,finetuned_summary_model,A gradient descent with automated step-sizes taking the slope into account. We are approximating E(w) around the current weight. Note the dependence of gradient and Hessian on w.,4,5,4,"Better than the above with 3 real points combined well, only a minor missing article"
35,Wk_3_Lec_1.pdf,extractive_only,"However, its deviations from quadratic are not too large. function that uses the square of the loss to heavily penalize the incorrectly classified examples. So, they include terms of degree up to p. parameters, despite being nonlinear in the original problem’s input variables. This idea can is also applicable to other linear models. The decision boundary can be chosen so as to maximize the margin.margin.",3,5,4,Reasonably technical but coherent as bullets
35,Wk_3_Lec_1.pdf,untrained_base_flant5,"However, its deviations from quadratic are not too large. So, they include terms of degree up to p.",4,5,2,"Drops the margin/decision-boundary point, arguably the most important one in this file"
35,Wk_3_Lec_1.pdf,finetuned_summary_model,Margin.margin is a nonlinear function that uses the square of the loss to heavily penalize the incorrectly classified examples. This idea can be applied to other linear models. The decision boundary can be chosen so as to maximize the margin.,3,2,3,The line 'Margin is a nonlinear function that uses squared loss...' incorrectly merges two genuinely distinct source concepts (a loss-penalty function and margin maximization) into one wrong compound claim
35,Wk_3_Lec_2.pdf,extractive_only,"Constraint: all training examples must be correctly classified.classified. Solving this problem directly would be too hard. example, i.e., these two constraints are equivalent for the optimal solution.",4,5,4,"Short, clear, math-light, with all 3 real points from a short deck"
35,Wk_3_Lec_2.pdf,untrained_base_flant5,"Solving this problem directly would be too hard.  Example, i.e., these two constraints are equivalent for the optimal solution.",4,5,3,"Dropped 1 of 3 sentences, otherwise fine"
35,Wk_3_Lec_2.pdf,finetuned_summary_model,Constraint: all training examples must be correctly classified. Classification is the best way to solve this problem.,4,1,2,"The line 'Classification is the best way to solve this problem' is an unsupported sweeping claim invented outright, not present anywhere in the source"
35,Wk_4_Lec_1.pdf,extractive_only,"We will be penalizing the objective when the constraint is violated (unless(unless 𝑎=𝑎= ).). problem min𝐱𝐹(𝐱) with convex inequality constraints 𝑓௜(𝐱) ≤. A solution 𝐱is optimal for the primal and a solution 𝐚is optimal for the dual iif: 𝐰,௕ ௡ୀଵ Lagrange Relaxation Find 𝐰, 𝑏and𝐚 which minimizes the function and maximizes a: It will be correctly classified (if the SVM problem is feasible). Note that 𝑦(௡)ℎ(𝐱(௡)) = for all support vectors.",2,5,4,"Very math-notation-heavy (Lagrange/KKT), hard to parse as prose but comprehensive"
35,Wk_4_Lec_1.pdf,untrained_base_flant5,We will penalize the objective when the constraint is violated (unless(unless a=a= ).).,4,5,1,Kept 1 sentence only
35,Wk_4_Lec_1.pdf,finetuned_summary_model,"A solution xis optimal for primal and a solution a is optimal for dual iif. Lagrange Relaxation Find w, banda which minimizes the function and maximizes a.",2,4,3,"Garbled variable-name fusion ('xis', 'banda') makes it hard to parse, though not fabricated - just poorly rendered notation"
35,Wk_4_Lec_2.pdf,extractive_only,"Gaussian kernel, which takes us to an infinite dimensional embedding.embedding. Requires defining the kernel function or kernel matrix (with some constraints). kernel in the feature space respects the properties of inner products. Devise an appropriate feature embedding and compute its kernel. Predictions when using the dual representation are based on the support vectors. Can potentially enable us to compute inner products efficiently.",3,5,4,Good kernel-methods coverage
35,Wk_4_Lec_2.pdf,untrained_base_flant5,"Gaussian kernel, which takes us to an infinite dimensional embedding.embedding.",5,5,1,Kept 1 sentence only
35,Wk_4_Lec_2.pdf,finetuned_summary_model,"Gaussian kernel, which takes us to an infinite dimensional embedding. It requires defining the kernel function or kernel matrix (with some constraints ) It can potentially enable us to compute inner products efficiently.",4,5,4,Good - combined 3 real points coherently and accurately
35,Wk_5_Lec_1.pdf,extractive_only,"SeeSeeSyedthetheFawadbookbookHussainoror lecture notes for aa step-by-step-by-step on how to use the information above to eliminate ww and b.b. Maximizing the margin can help coping with overfitting. It may be better to misclassify some training examples! One slack variable 𝜉(௡) ≥ is associated to each training example (𝐱(௡), 𝑦(௡)). Now, our margin is simply defined as /∥𝐰∥. We’ve seen how to make predictions when using the dual representation.",2,4,4,Contains the severe name/duplication corruption bug ('SeeSeeSyedtheFawad...') alongside 4 genuinely good soft-margin SVM points
35,Wk_5_Lec_1.pdf,untrained_base_flant5,See SeeSeeSyedthetheFawadbookbookHussainoror lecture notes for aa step-by-step-by-step on how to use the information above to eliminate ww and b.b.,1,3,1,"Kept only the corrupted sentence, completely unreadable. Garbage-in-garbage-out from the extraction stage"
35,Wk_5_Lec_1.pdf,finetuned_summary_model,See SeeSyedthetheFawadbookbookHussainoror lecture notes for aa step-by-step on how to use the information above to eliminate ww and b.b.,1,3,1,Same failure with both models inherited the corrupted extraction input and could not recover from it
35,Wk_5_Lec_2.pdf,extractive_only,"It breaks the problem into smaller ones that can be solved analytically one at a time. How many 𝑎(௡) to optimize in each step? Suppose we have 𝐚values for which the constraints are satisfied. Suppose we pick 𝑎(௠) to update, while keeping the others fixed. Optimize 𝐿෨(𝐚) with respect to 𝑎(௜)and 𝑎(௝) ,while holding all other Lagrange multipliers fixed. until a positive improvement in the objective is observed:",2,5,4,"SMO-algorithm-specific, choppy but solid coverage"
35,Wk_5_Lec_2.pdf,untrained_base_flant5,It breaks the problem into smaller ones that can be solved analytically one at a time.,5,5,1,Kept 1 sentence only
35,Wk_5_Lec_2.pdf,finetuned_summary_model,"Suppose we have a value for which the constraints are satisfied. We pick a() to update, while holding all other Lagrange multipliers fixed.",4,5,3,"Combined 2 real points, minor variable-notation glitch ('a()') but understandable"
35,Wk_7_Lec_1.pdf,extractive_only,"Use no less than decimal cases in your calculations. down marked as a result of precision issues, please contact me. Can be completed between the Available From and Due time. The solution can be obtained by this set of linear equations (the normal equation). In which case, OLS may not work well. The following are all linear models with multiple D features:",3,5,2,"Contains Admin Leak with assignment deadline/grading instructions extracted alongside real content, admin filtering gap not covering this pipeline"
35,Wk_7_Lec_1.pdf,untrained_base_flant5,Use no less than decimal cases in your calculations.,5,5,1,"Kept the worst sentence available. Pure grading logistics, zero educational content"
35,Wk_7_Lec_1.pdf,finetuned_summary_model,Calculations are based on a set of linear equations. The solution can be obtained by OLS (the normal equation).,4,4,3,"Correctly avoided the admin noise and synthesized the real content (normal equation, OLS). Better than the above."
35,Wk_7_Lec_2.pdf,extractive_only,Frequentist: model parameters are fixed; computed using some estimator such as MLE.,5,5,2,"Only 1 sentence extracted. Covers frequentist half only, Bayesian half missing from source extraction entirely"
35,Wk_7_Lec_2.pdf,untrained_base_flant5,- Frequentist: model parameters are fixed; computed using some estimator such as MLE.,5,5,2,"Identical content, cosmetic difference only"
35,Wk_7_Lec_2.pdf,finetuned_summary_model,Model parameters are fixed; computed using some estimator such as MLE.,5,5,2,"Identical content, cosmetic difference only"
35,Wk_8_Lec_1.pdf,extractive_only,"The objective: Find a function that returns the best fit. Can limited training data reveal something about unseen test examples? Answer: we can infer something outside 𝒯using only 𝒯, but in a probabilistic way. It is not a tight bound, but useful for understanding machine learning and its feasibility. Probability that actual and estimated values are different by more than 𝜖. It makes sense to estimate the generalization error based on the training error.error.",3,5,4,Good learning-theory/Hoeffding-bound-adjacent coverage
35,Wk_8_Lec_1.pdf,untrained_base_flant5,"It is not a tight bound, but useful for understanding machine learning and its feasibility.",5,5,1,Kept 1 sentence only
35,Wk_8_Lec_1.pdf,finetuned_summary_model,"The objective: find a function that returns the best fit. We can infer something outside Tusing only T, but in a probabilistic way. It makes sense to estimate the generalization error based on the training error.",4,5,4,"Best of the three combining 3 real points, follows the actual thread of the argument well"
35,Wk_8_Lec_2.pdf,extractive_only,The aim is to replace M by some quantity on the hypothesis set H using Dichotomy.,4,5,2,"Only 1 sentence extracted for all three, thin coverage of a likely richer lecture"
35,Wk_8_Lec_2.pdf,untrained_base_flant5,The aim is to replace M by some quantity on the hypothesis set H using Dichotomy.,4,5,2,Identical content
35,Wk_8_Lec_2.pdf,finetuned_summary_model,The aim is to replace M by some quantity on the hypothesis set H using Dichotomy.,4,5,2,Identical content
35,Wk_9_Lec_1.pdf,extractive_only,"“A way of labeling those points with + / – (or /) that the hypothesis class can realize”. If a set of points yields all dichotomies, it is shattered by ℋ. It counts how expressive the model is for a given number of points N. If 𝑚ℋ𝑁= ே, the class can shatter those N points. “The largest number of points that the hypothesis class can shatter”. Higher VC dimension → higher capacity → can ﬁt more paƩerns.",3,5,4,"Comprehensive VC-dimension definitional coverage, one ligature-corruption typo"
35,Wk_9_Lec_1.pdf,untrained_base_flant5,"“If a set of points yields all dichotomies, it is shattered by H.",4,5,1,Kept 1 sentence with a dangling stray quote mark artifact
35,Wk_9_Lec_1.pdf,finetuned_summary_model,"The hypothesis class can shatter a set of N points. A set of points yields all dichotomies, it is shattered by H. It counts how expressive the model is for a given number of points N.",3,5,4,Good real coverage but presentation order is slightly circular/backwards
35,Wk_9_Lec_2.pdf,extractive_only,taking the expectation over all possible training set D’s. Imagine that you are throwing a dart with a target at the centre. The four subfigures show the levels of bias and variance. It is a decomposition of the testing error into bias and variance. It is a universal result that applies to all ML models.,4,5,4,Clear bias-variance framing
35,Wk_9_Lec_2.pdf,untrained_base_flant5,Imagine that you are throwing a dart with a target at the centre.,5,5,1,Kept the illustrative dart-throwing analogy but dropped the actual technical claims it illustrates
35,Wk_9_Lec_2.pdf,finetuned_summary_model,The four subfigures show the levels of bias and variance. It is a universal result that applies to all ML models.,5,5,3,"Combined 2 real technical points, appropriately prioritized substance over the analogy"
35,Wk_10_Lec_1.pdf,extractive_only,"Dual representation, optimization, basis expansion, soft margin, etc. e.g., a linear model without L2 regularization causes very large weight for outliers. using a random “ID number” makes a decision tree split on that point. ML estimation requires a statistical assumption whereas regression does not. • A Bayesian approach to tackling overfit is to use priors. • Rather than inferring a point estimate of our parameter, infer a distribution over it.",4,5,4,"Solid regularization/Bayesian coverage, one low-value recap line included"
35,Wk_10_Lec_1.pdf,untrained_base_flant5,"• A Bayesian approach to tackling overfit is to use priors. • Rather than infer a point estimate of our parameter, infer a distribution over it.",4,5,3,Reasonably combined 2 real points
35,Wk_10_Lec_1.pdf,finetuned_summary_model,"A Bayesian approach to tackling overfit is to infer a distribution over it. Using a random ""ID number"" makes a decision tree split on that point.",3,4,3,"Ambiguous pronoun reference ('it') after merging two originally-separate clauses - introduces mild confusion, not quite fabrication but a real precision loss"
35,Wk_10_Lec_2.pdf,extractive_only,"Learning feasibility, generalization bound, VC-dimension, bias-variance analysis, etc. If the underlying model has a dense solution, then LASSO is of limited value. Rather than inferring a point estimate of our parameter, infer a distribution over it. The prior acts as a regularizer against overfitting. Helps dramatically when there is noise in the data, not enough data, or complex target. L1 regularizer: LASSO regularization promotes a sparse solution.",4,5,4,"Good regularization content, one recap line included, one point is a legitimate cross-file recap not a bug"
35,Wk_10_Lec_2.pdf,untrained_base_flant5,LASSO is of limited value if the underlying model has a dense solution.,5,5,1,First real example of untrained-base actually paraphrasing (not just extracting) - encouraging but still very thin
35,Wk_10_Lec_2.pdf,finetuned_summary_model,LASSO is of limited value if the underlying model has a dense solution. The prior acts as a regularizer against overfitting.,5,5,3,"Combined 2 real points, matches source well"
35,Wk_11_Lec_2.pdf,extractive_only,"Dual representation, optimization, basis expansion, soft margin, etc. The simplest model that fits the data is also the most plausible. How do we know that simpler is better? If the data is sampled in a biased way, learning will produce a similarly biased outcome. Slides are for me to help deliver my lecture, not a limit.",3,5,3,CONTAINS ADMIN LEAK - a course disclaimer ('slides are not a limit') treated as if it were content
35,Wk_11_Lec_2.pdf,untrained_base_flant5,"Slides are for me to help deliver my lecture, not a limit.",5,5,1,Kept the admin disclaimer as its sole output - literally the least useful sentence available
35,Wk_11_Lec_2.pdf,finetuned_summary_model,The simplest model that fits the data is also the most plausible. Learning will produce a similarly biased outcome.,4,3,4,"Correctly avoided the admin noise, but dropped a conditional ('IF data is biased') turning a conditional warning into an unconditional claim - a subtle but real meaning distortion"
35,Wk_11_Lec_1.pdf,extractive_only,"Dual representation, optimization, basis expansion, soft margin, etc. Validation: Break the dataset into training and validation. Use validation set to help selecting models and parameters. Then reuse the data to report the final hypothesis. Can also use cross-validation to get a better estimate.",3,5,3,Recap line dilutes; one point ambiguous out of context (possible data-reuse warning read flatly)
35,Wk_11_Lec_1.pdf,untrained_base_flant5,"Dual representation, optimization, basis expansion, soft margin, etc.",5,5,1,Kept only the recap line again - same low-value-sentence-selection pattern as Wk_11_Lec_2
35,Wk_11_Lec_1.pdf,finetuned_summary_model,Data can be used for training and validation. Use validation set to help select models and parameters. Reuse data to report the final hypothesis.,4,4,4,"Best of the three - avoided the recap line, captured 3 real points about validation methodology"
37,CVI_PG_Week 1_NOTE-3.pdf,extractive_only,"▪ Sit at your computer with your nose pointing in between the cross and the black circle. ▪ The brain works with approximations, predictions and assumptions! inspired by the courses given by other greatOutline researchers in the Computer Vision community: ▪ Feature detection and DL o Alexei A. ""Fast and accurate image super-resolution with deep laplacian pyramid networks."" IEEE transactions on pattern analysis and machine intelligence . (2018): 2599-2613. ""Representing scenes as neural radiance fields for view synthesis."" Proc.",2,5,2,CONTAINS CITATION LEAK - paper titles/journal names/page numbers extracted as if they were lecture content; only 2 of ~6 sentences are genuine conceptual material
37,CVI_PG_Week 1_NOTE-3.pdf,untrained_base_flant5,"Feature detection and DL o Alexei A. - ""Fast and accurate image super-resolution with deep laplacian pyramid networks."" IEEE Transactions on pattern analysis and machine intelligence. (2018): 2599-2613.",1,4,1,"Kept the citation-fragment sentence verbatim - unreadable jumble, zero real content"
37,CVI_PG_Week 1_NOTE-3.pdf,finetuned_summary_model,"Feature detection and DL o Alexei A.. ""Fast and accurate image super-resolution with deep laplacian pyramid networks""",1,3,1,"Same failure as untrained - both inherited a bad extraction input and could not recover, same pattern as Wk_5_Lec_1"
37,CVI_PG_Week 2_NOTE_Remainder-1.pdf,extractive_only,• How to update the weights at all layers? errors on the output units it feeds into.,2,4,1,"Fragmented/truncated content, reflects genuine sparsity in this 'remainder' deck"
37,CVI_PG_Week 2_NOTE_Remainder-1.pdf,untrained_base_flant5,• How to update the weights at all layers? - errors on the output units it feeds into.,2,4,1,Same as above
37,CVI_PG_Week 2_NOTE_Remainder-1.pdf,finetuned_summary_model,NEW: How to update the weights at all layers. NEW: Change the output units it feeds into.,2,4,1,Same as above
